정책명,카테고리,대상,지원내용,신청방법,필요서류,참고사항
의성군 청년 주거지원 정책,주거 지원,의성군에 주민등록을 둔 19세 이상 39세 이하의 청년,"월세, 전세금 지원 등 다양한 주거지원 프로그램 운영",의성군청 홈페이지를 통해 신청서를 다운로드 받아 필요 서류와 함께 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 전세자금 대출 지원,주거 지원,"의성군에 주민등록을 둔 가구 중 일정 소득 이하 가구로, 자산기준과 신용도 등을 충족하는 가구","최대 70백만원의 전세자금 대출을 지원합니다. 이자는 은행의 기준금리를 적용하며, 상환 기간은 최대 10년입니다.","의성군청 또는 주민센터에 방문하여 신청서를 제출하면 됩니다. 신청서와 함께 소득증빙서류, 주민등록등본, 전세계약서 등을 제출해야 합니다.","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 신혼부부 주택 지원 정책,주거 지원,의성군에 주민등록을 둔 신혼부부(혼인신고일 기준 7년 이내),"신혼부부를 위한 임대주택을 저렴한 가격에 공급하며, 일정 조건을 충족할 경우 주택구입 지원금을 지원합니다.","의성군청 홈페이지나 의성군청 본청에서 직접 신청서를 제출하면 됩니다. 필요서류는 신청서, 혼인관계증명서, 주민등록등본 등입니다.","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 빈집 리모델링 지원 사업,주거 지원,의성군에 위치한 빈집을 소유하고 이를 리모델링 하려는 소유자 또는 임차인,"리모델링 비용의 일부를 지원합니다. 지원 범위와 금액은 사업의 세부 계획에 따라 달라질 수 있으므로, 구체적인 내용은 의성군청에 문의해야 합니다.","의성군청 홈페이지 또는 의성군청에 방문하여 신청서를 제출합니다. 신청서에는 리모델링 계획서와 빈집 소유증명서, 임차 계약서 등이 필요하며, 제출 기간과 방법은 의성군청의 공고를 참고해야 합니다.","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 산골영농 정착지원 사업,주거 지원,전원생활 및 농업에 관심이 있는 도시 청년 및 가구,"주택지원: 농촌주택 임대, 농촌주택 구입비 지원","의성군청 또는 의성군 홈페이지를 통해 신청서를 다운로드 받아, 필요한 서류와 함께 제출","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 청년 창업 지원 사업,청년 창업 지원,의성군에 거주하는 19세 이상 39세 이하의 청년 창업자,창업 준비기간 동안의 생활비 지원,의성군청 홈페이지 또는 의성군청 청년지원팀에 방문하여 신청서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 창업보육센터 운영,청년 창업 지원,의성지역에서 창업을 준비하거나 초기 창업기업,"창업보육센터는 창업자를 위한 공간을 제공하며, 창업에 필요한 컨설팅, 교육, 네트워킹 등 다양한 서비스를 제공합니다. 지원공간은 저렴한 임대료로 제공되며, 창업을 위한 각종 정보와 컨설팅을 받을 수 있습니다.","의성군청 홈페이지에서 신청서를 다운받아 작성 후, 이메일 또는 방문 신청이 가능합니다.","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 청년창업 지원사업,청년 창업 지원,의성군에 사업을 설립하려는 만 18세 이상 39세 이하의 청년 창업자,"창업 지원금 최대 7000만원, 창업 교육 및 멘토링, 상권분석 등 창업 관련 정보 제공, 저렴한 가격으로 사무실 및 상가 임대 등","의성군청 홈페이지나 창업지원센터를 통해 신청서를 제출하면 됩니다. 신청 기간과 방법은 매년 달라지므로, 정확한 정보는 의성군청 홈페이지를 참조하거나 전화로 문의하시기 바랍니다.","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 농업창업지원사업,청년 창업 지원,"농업에 창업 희망하는 청년 또는 중장년층이며, 특히 의성지역에 정착을 원하는 사람들이 대상입니다.","농업기술교육, 농지임대, 시설물 지원, 운영자금 지원 등이 있습니다. 구체적인 지원 내용은 의성군청 홈페이지나 문의를 통해 확인할 수 있습니다.","의성군청 홈페이지나 농업기술센터를 통해 신청서를 제출하면 됩니다. 신청서 제출 시 필요한 서류는 신청서, 사업계획서, 동의서 등이며, 세부적인 내용은 홈페이지를 통해 확인하실 수 있습니다.","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 창업지원자금,청년 창업 지원,의성군에 사업장을 둔 창업 기업,"창업 지원금은 보조금 형식으로 지원되며, 지원금의 사용용도는 창업에 필요한 운영자금, 장비 구입비 등으로 사용할 수 있습니다.","의성군청 홈페이지 또는 창업지원센터를 통해 신청서를 제출하면 됩니다. 신청서 제출 후, 심사를 통해 지원대상자를 선정합니다.","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
